UT_time,Scat450tot,Scat550tot,Scat700tot,Scat450sub,Scat550sub,Scat700sub
64669,63.48,39.74,24.25,46.48,31.12,17.03
64670,62.41,39.16,23.68,48.04,32.16,17.60
64671,62.48,39.45,23.56,48.05,32.16,17.60
64672,60.96,38.77,23.89,48.05,32.16,17.60
64673,62.05,38.52,23.79,48.04,32.16,17.60
64674,61.75,38.36,23.43,48.05,32.17,17.60
64675,63.67,38.30,24.19,48.10,32.20,17.62
64676,62.13,38.12,23.94,48.19,32.26,17.65
64677,63.45,38.41,24.35,48.34,32.36,17.71
64678,61.33,38.81,24.16,48.53,32.49,17.78
64679,61.63,38.58,24.27,48.73,32.62,17.85
64680,60.48,38.65,23.80,48.99,32.79,17.94
64681,61.42,38.12,24.24,49.24,32.96,18.04
64682,60.96,37.72,23.72,49.47,33.11,18.12
64683,61.65,37.39,23.34,49.65,33.24,18.19
64684,60.93,37.02,23.36,49.82,33.35,18.25
64685,60.79,37.80,22.81,49.99,33.46,18.31
64686,60.88,37.99,22.41,50.14,33.57,18.37
64687,60.63,39.03,22.55,50.35,33.71,18.44
64688,61.24,39.11,22.64,50.62,33.88,18.54
64689,62.07,40.06,22.31,50.93,34.09,18.66
64690,62.66,39.10,21.99,51.23,34.29,18.77
64691,62.89,39.21,21.26,51.53,34.50,18.88
64692,62.35,37.87,19.93,51.85,34.71,18.99
64693,61.60,37.97,19.62,52.14,34.90,19.10
64694,60.62,37.47,18.97,52.33,35.03,19.17
64695,60.21,38.42,19.22,52.49,35.14,19.23
64696,60.04,38.32,19.33,52.62,35.23,19.28
64697,60.50,39.81,20.34,52.78,35.33,19.33
64698,60.85,39.87,20.66,52.95,35.44,19.40
64699,61.32,39.81,21.47,53.18,35.60,19.48
64700,61.12,38.80,21.21,53.45,35.78,19.58
64701,61.26,39.20,21.45,53.74,35.98,19.69
64702,61.23,37.89,20.63,54.01,36.15,19.78
64703,61.33,37.92,20.36,54.26,36.32,19.88
64704,60.77,37.57,19.52,54.51,36.49,19.97
64705,61.14,37.93,19.82,54.70,36.62,20.04
64706,60.67,37.89,19.52,54.84,36.71,20.09
64707,60.35,38.65,20.40,54.93,36.77,20.12
64708,59.14,38.40,20.35,55.02,36.83,20.15
64709,59.45,38.70,20.96,55.10,36.89,20.18
64710,58.50,38.44,20.66,55.21,36.96,20.22
64711,59.28,38.67,21.09,55.34,37.05,20.27
64712,59.57,38.27,20.27,55.48,37.14,20.32
64713,61.52,39.08,20.39,55.60,37.22,20.37
64714,62.03,39.08,19.67,55.72,37.30,20.41
64715,62.90,39.74,19.87,55.82,37.37,20.45
64716,62.71,39.03,19.12,55.93,37.44,20.49
64717,63.14,39.41,19.52,56.02,37.50,20.52
64718,61.80,39.22,20.46,56.08,37.54,20.54
64719,61.26,40.37,21.57,56.14,37.58,20.56
64720,61.06,40.07,22.46,56.17,37.60,20.58
64721,60.55,40.83,22.98,56.17,37.60,20.58
64722,60.31,40.67,23.20,56.20,37.62,20.59
64723,59.51,39.76,21.97,56.25,37.65,20.60
64724,59.23,38.98,21.54,56.28,37.68,20.62
64725,58.26,38.55,20.61,56.33,37.71,20.64
64726,58.17,38.29,20.86,56.36,37.73,20.65
64727,58.28,38.05,20.79,56.39,37.75,20.66
64728,59.48,38.45,21.23,56.34,37.72,20.64
64729,59.10,37.68,20.93,56.29,37.68,20.62
64730,60.11,38.02,21.60,56.24,37.65,20.60
64731,59.64,37.31,21.79,56.19,37.62,20.58
64732,59.53,37.26,23.16,56.11,37.56,20.56
64733,59.23,37.02,23.66,56.06,37.52,20.53
64734,60.02,38.13,24.88,55.98,37.47,20.51
64735,58.24,38.28,24.88,55.91,37.43,20.48
64736,58.06,39.35,24.15,55.87,37.40,20.46
64737,56.14,39.27,22.92,55.86,37.39,20.46
64738,56.57,39.58,22.63,55.89,37.42,20.47
64739,55.58,38.46,21.56,55.95,37.46,20.50
64740,57.37,37.91,21.65,56.02,37.50,20.52
64741,57.21,36.89,22.20,56.09,37.55,20.55
64742,58.80,36.58,22.30,56.14,37.58,20.57
64743,57.68,36.03,22.13,56.17,37.60,20.58
64744,58.17,36.01,22.68,56.18,37.61,20.58
64745,57.84,36.47,22.49,56.19,37.62,20.58
64746,59.51,37.73,22.71,56.19,37.62,20.58
64747,59.51,38.34,22.88,56.21,37.63,20.59
64748,61.09,39.34,23.08,56.22,37.63,20.59
64749,61.28,39.36,22.43,56.23,37.64,20.60
64750,60.96,39.21,21.41,56.22,37.64,20.60
64751,60.06,37.70,20.87,56.20,37.62,20.59
64752,59.38,37.50,19.56,56.17,37.60,20.58
64753,58.84,36.19,18.52,56.13,37.57,20.56
64754,58.90,37.42,18.57,56.09,37.55,20.55
64755,59.78,37.24,19.12,56.04,37.52,20.53
64756,60.84,38.28,19.37,56.03,37.51,20.53
64757,61.80,37.81,20.07,56.03,37.51,20.53
64758,62.42,38.94,20.65,56.03,37.51,20.53
64759,63.22,37.88,20.16,56.03,37.51,20.52
64760,64.55,38.54,20.16,56.02,37.50,20.52
64761,64.28,37.44,19.81,56.00,37.49,20.51
64762,64.72,37.82,20.30,55.96,37.46,20.50
64763,64.02,36.59,20.40,55.93,37.44,20.49
64764,63.22,36.21,21.07,55.91,37.42,20.48
64765,61.77,35.81,21.64,55.89,37.42,20.47
64766,61.54,36.77,21.89,55.86,37.40,20.46
64767,60.08,36.57,21.79,55.81,37.36,20.44
64768,60.73,37.22,21.79,55.74,37.32,20.42
64769,60.53,37.36,21.20,55.65,37.25,20.39
64770,61.03,37.25,20.72,55.49,37.15,20.33
64771,61.51,37.47,20.80,55.33,37.04,20.27
64772,63.54,38.04,20.69,55.19,36.95,20.22
64773,64.56,38.23,21.39,55.05,36.85,20.17
64774,65.13,38.90,22.27,54.90,36.75,20.11
64775,64.13,39.57,22.85,54.79,36.68,20.07
64776,63.45,39.34,22.88,54.71,36.62,20.04
64777,63.05,39.63,22.84,54.64,36.58,20.02
64778,61.84,39.24,21.71,54.59,36.54,20.00
64779,62.25,39.50,21.19,54.56,36.52,19.98
64780,62.40,38.60,20.55,54.51,36.49,19.97
64781,62.51,39.34,21.12,54.44,36.44,19.94
64782,62.21,38.34,20.87,54.36,36.39,19.91
64783,62.17,39.42,21.78,54.27,36.33,19.88
64784,62.15,38.75,21.86,54.21,36.29,19.86
64785,62.83,38.94,23.02,54.14,36.24,19.83
64786,63.12,38.27,22.67,54.08,36.20,19.81
64787,63.65,39.31,23.29,54.04,36.18,19.80
64788,63.43,38.55,22.68,53.99,36.14,19.78
64789,63.69,39.17,22.89,53.94,36.11,19.76
64790,62.59,39.14,22.30,53.95,36.11,19.76
64791,62.92,39.55,22.48,53.97,36.13,19.77
64792,62.27,38.74,22.21,53.98,36.14,19.77
64793,63.64,39.15,22.87,54.00,36.15,19.78
64794,63.04,38.55,22.99,54.03,36.17,19.79
64795,64.13,38.70,22.32,54.03,36.17,19.79
64796,63.11,37.66,21.94,54.00,36.15,19.78
64797,63.59,38.31,21.38,53.98,36.14,19.77
64798,62.56,37.70,20.62,53.98,36.13,19.77
64799,63.36,38.37,20.74,53.95,36.11,19.76
64800,62.88,38.00,20.71,53.92,36.09,19.75
64801,63.78,38.63,20.86,53.90,36.08,19.75
64802,63.15,38.56,21.20,53.90,36.08,19.74
64803,63.62,38.93,21.80,53.90,36.08,19.75
64804,63.06,39.17,21.97,53.91,36.09,19.75
64805,63.05,39.64,22.34,53.92,36.10,19.75
64806,62.56,39.71,21.97,53.93,36.10,19.75
64807,63.52,38.87,21.62,53.90,36.08,19.74
64808,63.15,39.03,21.00,53.88,36.07,19.74
64809,63.75,38.16,20.15,53.85,36.05,19.73
64810,63.71,38.18,20.11,53.82,36.03,19.72
64811,63.80,38.75,20.77,53.82,36.03,19.71
64812,62.27,39.45,21.16,53.82,36.03,19.72
64813,62.41,40.14,22.08,53.81,36.02,19.71
64814,61.29,40.96,22.73,53.78,36.00,19.70
64815,61.30,41.02,23.32,53.76,35.99,19.69
64816,61.14,39.84,22.60,53.71,35.95,19.67
64817,60.17,39.78,22.63,53.67,35.93,19.66
64818,59.58,38.30,22.16,53.62,35.90,19.64
64819,58.70,37.86,22.92,53.58,35.87,19.63
64820,58.63,37.27,22.57,53.53,35.84,19.61
64821,57.95,37.44,23.03,53.49,35.81,19.59
64822,59.69,37.85,22.78,53.44,35.77,19.57
64823,60.27,37.94,22.12,53.41,35.75,19.56
64824,61.57,37.60,20.92,53.38,35.73,19.55
64825,61.93,37.71,20.35,53.36,35.72,19.55
64826,62.14,37.87,20.30,53.36,35.72,19.55
64827,61.55,37.54,20.61,53.37,35.73,19.55
64828,60.86,38.71,21.49,53.39,35.74,19.56
64829,60.66,39.18,21.93,53.45,35.78,19.58
64830,60.07,40.20,22.56,53.53,35.83,19.61
64831,60.59,40.35,22.76,53.60,35.88,19.64
64832,61.32,40.64,23.22,53.67,35.93,19.66
64833,61.39,40.38,22.99,53.74,35.97,19.69
64834,62.22,41.55,23.47,53.77,36.00,19.70
64835,62.41,41.43,23.23,53.80,36.01,19.71
64836,62.41,42.30,23.01,53.82,36.03,19.72
64837,60.62,42.23,22.29,53.85,36.05,19.72
64838,60.30,41.34,22.71,53.86,36.06,19.73
64839,58.85,39.75,22.18,53.88,36.07,19.74
64840,59.50,39.63,22.86,53.92,36.09,19.75
64841,59.62,38.34,22.78,53.97,36.13,19.77
64842,60.21,38.78,23.40,54.01,36.16,19.78
64843,60.46,39.01,22.52,54.07,36.20,19.81
64844,60.45,39.34,22.38,54.16,36.25,19.84
64845,59.55,38.97,21.49,54.22,36.29,19.86
64846,60.06,39.61,21.78,54.27,36.33,19.88
64847,60.29,39.49,21.72,54.31,36.36,19.90
64848,61.44,39.95,22.20,54.36,36.39,19.91
64849,61.94,40.53,21.75,54.39,36.41,19.93
64850,63.15,40.32,21.95,54.44,36.44,19.94
64851,62.66,39.92,20.98,54.48,36.47,19.96
64852,63.34,39.62,20.98,54.53,36.50,19.98
64853,63.24,39.27,20.40,54.57,36.53,19.99
64854,63.12,38.99,21.07,54.61,36.56,20.01
64855,63.22,39.37,21.04,54.65,36.59,20.02
64856,62.59,39.42,22.28,54.69,36.61,20.03
64857,62.72,39.12,21.71,54.72,36.63,20.04
64858,61.93,38.95,22.00,54.73,36.64,20.05
64859,62.17,38.51,21.87,54.73,36.64,20.05
64860,61.89,39.09,21.65,54.74,36.64,20.05
64861,62.13,38.93,21.18,54.72,36.63,20.05
64862,62.28,39.18,21.22,54.70,36.62,20.04
64863,61.49,39.18,21.17,54.67,36.60,20.03
64864,61.36,39.65,21.04,54.66,36.59,20.02
64865,59.71,39.09,21.29,54.61,36.56,20.00
64866,59.64,39.35,21.19,54.57,36.53,19.99
64867,59.05,39.51,21.76,54.52,36.50,19.97
64868,60.31,39.43,21.82,54.48,36.47,19.96
64869,59.82,38.85,22.01,54.43,36.44,19.94
64870,61.89,39.16,21.71,54.40,36.41,19.93
64871,61.72,39.20,21.34,54.37,36.39,19.92
64872,62.50,39.55,21.42,54.34,36.38,19.91
64873,62.25,40.14,21.42,54.31,36.36,19.90
64874,62.73,41.03,21.95,54.28,36.34,19.89
64875,61.47,40.60,22.44,54.24,36.31,19.87
64876,62.20,40.49,23.53,54.19,36.28,19.85
64877,61.36,40.06,23.22,54.13,36.24,19.83
64878,61.75,40.25,23.99,54.09,36.21,19.81
64879,62.15,39.37,23.77,54.02,36.16,19.79
64880,62.65,39.55,23.28,53.96,36.12,19.77
64881,62.08,39.76,22.77,53.92,36.10,19.75
64882,61.74,39.53,22.78,53.89,36.08,19.74
64883,62.39,39.75,22.87,53.85,36.05,19.73
64884,62.02,40.11,22.61,53.81,36.02,19.71
64885,62.63,40.59,23.65,53.74,35.98,19.69
64886,62.60,40.72,23.59,53.65,35.92,19.65
64887,63.08,41.11,24.11,53.56,35.85,19.62
64888,61.50,40.39,23.22,53.49,35.81,19.59
64889,61.95,40.80,23.34,53.46,35.78,19.58
64890,62.25,40.20,22.40,53.47,35.80,19.59
64891,63.90,40.91,22.74,53.51,35.82,19.60
64892,64.64,41.19,22.25,53.55,35.85,19.62
64893,67.19,42.45,23.70,53.58,35.87,19.63
64894,68.04,43.26,24.00,53.61,35.89,19.64
64895,69.49,45.03,25.06,53.63,35.90,19.65
64896,69.72,44.99,24.85,53.68,35.93,19.66
64897,69.89,45.03,25.45,53.73,35.97,19.68
64898,68.89,43.71,24.60,53.80,36.02,19.71
64899,68.60,42.87,24.19,53.88,36.07,19.74
64900,66.87,41.44,23.82,53.95,36.11,19.76
64901,66.26,40.99,23.87,54.01,36.16,19.79
64902,66.15,41.34,24.19,54.07,36.20,19.81
64903,65.01,42.19,24.53,54.13,36.23,19.83
64904,64.52,42.95,24.62,54.18,36.27,19.85
64905,64.85,43.61,24.94,54.22,36.30,19.86
64906,64.22,43.97,24.69,54.26,36.32,19.87
64907,64.34,44.35,24.36,54.30,36.35,19.89
64908,65.35,44.42,23.82,54.34,36.38,19.91
64909,66.22,45.01,24.01,54.36,36.39,19.91
64910,65.86,44.63,23.23,54.37,36.40,19.92
64911,66.53,44.07,22.98,54.36,36.39,19.91
64912,66.60,43.29,22.18,54.32,36.36,19.90
64913,66.71,43.04,21.93,54.28,36.34,19.88
64914,66.19,42.11,20.81,54.26,36.32,19.88
64915,66.79,42.16,20.81,54.24,36.31,19.87
64916,66.50,42.24,20.38,54.24,36.31,19.87
64917,66.44,42.33,20.83,54.26,36.32,19.88
64918,67.23,42.01,21.46,54.27,36.33,19.88
64919,66.95,41.26,22.50,54.30,36.35,19.89
64920,66.92,40.85,23.14,54.32,36.36,19.90
64921,67.36,40.91,25.29,54.36,36.39,19.91
64922,67.65,40.84,25.35,54.43,36.43,19.94
64923,66.01,41.03,25.63,54.50,36.48,19.96
64924,66.44,41.96,25.51,54.55,36.52,19.98
64925,65.48,43.05,25.30,54.61,36.56,20.00
64926,65.18,43.16,24.14,54.64,36.57,20.01
64927,64.63,43.46,24.11,54.65,36.59,20.02
64928,65.75,43.65,24.32,54.65,36.58,20.02
64929,66.22,43.25,24.44,54.64,36.57,20.01
64930,65.88,42.45,23.80,54.62,36.57,20.01
64931,66.44,42.66,23.74,54.64,36.57,20.01
64932,65.94,42.03,22.95,54.64,36.58,20.02
64933,66.21,42.04,22.34,54.66,36.59,20.02
64934,65.96,41.41,22.15,54.67,36.60,20.03
64935,66.94,40.68,22.42,54.69,36.61,20.03
64936,66.64,39.87,22.46,54.70,36.62,20.04
64937,68.03,38.79,22.51,54.74,36.64,20.05
64938,67.54,37.95,22.09,54.80,36.68,20.07
64939,67.11,38.08,21.77,54.86,36.72,20.10
64940,66.18,37.92,22.22,54.92,36.77,20.12
64941,64.96,37.80,22.05,54.98,36.81,20.14
64942,64.62,39.17,22.79,55.04,36.84,20.16
64943,63.93,39.19,23.24,55.07,36.86,20.17
64944,64.75,39.84,23.69,55.13,36.90,20.19
64945,64.29,39.44,22.96,55.20,36.95,20.22
64946,65.08,39.94,23.08,55.27,37.00,20.25
64947,64.17,38.47,22.53,55.34,37.04,20.27
64948,64.08,38.97,22.34,55.42,37.10,20.30
64949,63.32,38.46,22.02,55.50,37.15,20.33
64950,63.61,39.49,22.85,55.57,37.20,20.36
64951,63.93,39.79,22.63,55.64,37.25,20.38
64952,65.50,40.78,23.26,55.69,37.28,20.40
64953,66.65,41.07,22.59,55.76,37.32,20.42
64954,67.83,41.33,22.45,55.82,37.37,20.45
64955,69.88,41.75,22.05,55.90,37.42,20.48
64956,69.85,41.77,22.29,56.02,37.50,20.52
64957,69.93,42.46,22.19,56.15,37.59,20.57
64958,69.62,42.72,23.20,56.29,37.68,20.62
64959,68.89,42.59,23.39,56.44,37.78,20.67
64960,68.81,42.72,23.56,56.57,37.87,20.72
64961,69.24,42.12,22.74,56.68,37.94,20.76
64962,69.40,41.55,22.87,56.77,38.00,20.80
64963,68.40,40.83,22.23,56.84,38.05,20.82
64964,67.52,41.07,22.95,56.88,38.08,20.84
64965,65.33,40.15,22.91,56.90,38.09,20.84
64966,64.37,40.57,24.03,56.93,38.11,20.85
64967,62.41,39.97,24.00,56.95,38.13,20.86
64968,62.67,40.18,24.06,56.99,38.15,20.88
64969,62.10,39.48,23.20,57.04,38.19,20.90
64970,63.07,40.20,22.69,57.15,38.25,20.93
64971,63.00,39.86,21.84,57.27,38.34,20.98
64972,63.72,40.44,21.59,57.40,38.42,21.03
64973,63.78,39.84,21.36,57.54,38.52,21.08
64974,64.63,40.73,22.10,57.67,38.61,21.13
64975,64.15,40.42,22.48,57.75,38.66,21.16
64976,63.98,41.06,23.59,57.81,38.70,21.18
64977,63.61,40.73,22.22,57.85,38.73,21.19
64978,62.59,40.67,21.75,57.87,38.74,21.20
64979,62.59,40.45,20.57,57.90,38.76,21.21
64980,62.67,40.05,20.79,57.93,38.78,21.22
64981,62.38,39.52,20.13,57.96,38.80,21.23
64982,62.51,39.85,21.29,58.00,38.83,21.25
64983,62.91,39.94,20.47,58.03,38.85,21.26
64984,62.02,39.54,20.28,58.04,38.86,21.26
64985,61.21,39.49,19.54,58.05,38.86,21.27
64986,61.52,39.25,19.77,58.05,38.86,21.26
64987,61.60,38.82,19.82,58.03,38.85,21.26
64988,62.44,38.98,21.37,58.03,38.85,21.26
64989,61.60,39.07,22.22,58.03,38.85,21.26
64990,61.39,38.63,22.28,58.02,38.84,21.25
64991,61.24,38.48,21.67,57.99,38.82,21.24
64992,60.70,37.83,21.12,57.95,38.80,21.23
64993,61.28,38.02,20.83,57.88,38.75,21.20
64994,62.79,38.09,20.09,57.80,38.69,21.17
64995,64.50,38.99,20.56,57.72,38.64,21.14
64996,65.06,39.26,20.56,57.65,38.59,21.12
64997,65.05,40.41,21.14,57.58,38.55,21.09
64998,64.33,40.04,20.89,57.54,38.52,21.08
64999,64.80,40.17,21.95,57.49,38.49,21.06
65000,64.37,39.87,22.20,57.45,38.46,21.04
65001,64.52,39.73,23.66,57.39,38.42,21.02
65002,66.22,39.97,23.90,57.31,38.36,20.99
65003,67.04,40.66,24.09,57.20,38.29,20.96
65004,66.10,40.27,24.05,57.09,38.22,20.91
65005,66.63,40.92,24.05,56.98,38.14,20.87
65006,66.02,41.43,23.09,56.88,38.08,20.84
65007,66.22,41.82,23.21,56.80,38.02,20.81
65008,65.34,41.51,23.52,56.74,37.98,20.78
65009,67.04,42.31,23.48,56.70,37.96,20.77
65010,66.36,41.79,23.01,56.68,37.94,20.76
65011,67.34,41.40,23.45,56.68,37.94,20.76
65012,65.93,40.85,22.78,56.69,37.95,20.76
65013,66.20,41.06,23.19,56.71,37.96,20.78
65014,63.84,40.22,23.49,56.75,37.99,20.79
65015,64.33,40.49,24.57,56.81,38.03,20.81
65016,63.26,40.09,24.13,56.87,38.07,20.83
65017,63.80,39.99,25.10,56.96,38.13,20.87
65018,63.43,39.59,24.69,57.06,38.20,20.90
65019,65.29,40.60,24.73,57.17,38.27,20.94
65020,65.25,41.14,23.87,57.26,38.33,20.97
65021,66.45,42.47,24.11,57.33,38.38,21.00
65022,67.10,42.34,23.22,57.37,38.40,21.02
65023,68.06,43.44,23.47,57.41,38.43,21.03
65024,68.28,42.94,23.00,57.46,38.47,21.05
65025,68.68,42.74,23.75,57.53,38.51,21.08
65026,68.05,42.43,23.65,57.63,38.58,21.11
65027,68.23,42.53,24.36,57.77,38.67,21.16
65028,67.06,41.10,24.39,57.91,38.77,21.21
65029,67.04,41.03,24.30,58.06,38.87,21.27
65030,65.67,40.12,23.76,58.22,38.97,21.33
65031,66.25,39.23,24.03,58.39,39.09,21.39
65032,64.17,38.56,23.73,58.53,39.18,21.44
65033,64.87,39.55,23.99,58.63,39.25,21.48
65034,63.22,39.16,24.59,58.71,39.30,21.51
65035,63.73,40.20,25.08,58.77,39.34,21.53
65036,62.59,40.38,25.14,58.82,39.37,21.55
65037,63.30,40.97,24.56,58.89,39.42,21.57
65038,62.44,40.38,24.64,58.95,39.47,21.60
65039,63.73,40.82,24.07,59.04,39.53,21.63
65040,63.64,40.43,24.32,59.15,39.60,21.67
65041,64.81,40.40,24.10,59.23,39.65,21.70
65042,64.78,39.95,24.90,59.30,39.70,21.72
65043,65.46,39.90,24.69,59.36,39.74,21.75
65044,65.09,39.74,25.47,59.40,39.76,21.76
65045,65.65,39.53,24.80,59.40,39.76,21.76
65046,65.26,39.75,24.49,59.40,39.76,21.76
65047,64.57,39.89,23.44,59.36,39.74,21.75
65048,64.92,39.79,22.23,59.33,39.71,21.73
65049,64.19,39.27,21.57,59.24,39.66,21.70
65050,64.69,39.50,20.39,59.15,39.60,21.67
65051,64.74,39.10,20.34,59.02,39.51,21.62
65052,66.06,39.38,21.31,58.89,39.42,21.57
65053,64.72,39.69,21.94,58.74,39.32,21.52
65054,64.46,40.19,22.42,58.60,39.23,21.47
65055,62.76,39.35,23.38,58.45,39.13,21.41
65056,62.82,39.52,22.94,58.36,39.07,21.38
65057,62.55,38.35,22.52,58.28,39.02,21.35
65058,63.69,39.09,23.03,58.23,38.98,21.33
65059,64.69,38.87,22.49,58.16,38.93,21.31
65060,65.81,40.28,22.28,58.11,38.90,21.29
65061,64.38,40.22,22.37,58.05,38.86,21.26
65062,64.45,41.56,21.94,57.97,38.81,21.24
65063,63.06,40.49,20.99,57.90,38.76,21.21
65064,62.99,41.26,21.27,57.86,38.73,21.19
65065,61.50,39.99,21.43,57.83,38.71,21.18
65066,62.12,40.39,22.17,57.80,38.69,21.17
65067,61.34,39.24,22.80,57.78,38.68,21.17
65068,61.43,38.99,23.82,57.77,38.67,21.16
65069,61.33,38.30,23.78,57.75,38.66,21.16
65070,61.76,38.59,24.23,57.72,38.64,21.15
65071,62.23,38.49,24.35,57.67,38.61,21.13
65072,61.91,38.79,24.03,57.62,38.57,21.11
65073,62.49,38.52,23.56,57.55,38.52,21.08
65074,62.30,38.78,23.30,57.48,38.48,21.06
65075,62.66,38.29,22.93,57.40,38.42,21.03
65076,62.62,38.38,22.77,57.32,38.37,21.00
65077,62.69,37.75,22.58,57.22,38.30,20.96
65078,62.34,38.79,22.81,57.11,38.23,20.92
65079,61.75,38.00,22.57,57.02,38.17,20.89
65080,61.51,38.91,22.84,56.94,38.12,20.86
65081,61.17,38.81,22.55,56.87,38.07,20.83
65082,61.07,39.54,22.80,56.82,38.03,20.81
65083,60.95,38.97,22.53,56.79,38.01,20.80
65084,62.51,39.33,22.56,56.73,37.98,20.78
65085,62.45,38.58,21.85,56.67,37.94,20.76
65086,62.24,38.18,21.33,56.59,37.89,20.73
65087,61.32,37.90,21.33,56.54,37.85,20.71
65088,61.59,37.28,20.80,56.47,37.80,20.69
65089,59.36,36.81,20.63,56.39,37.75,20.66
65090,60.06,37.65,20.82,56.32,37.70,20.63
65091,59.62,38.34,20.95,56.27,37.67,20.61
65092,61.42,39.24,21.08,56.22,37.63,20.59
65093,61.08,40.38,21.65,56.18,37.61,20.58
65094,62.83,41.77,22.24,56.13,37.58,20.56
65095,62.12,41.18,21.95,56.06,37.53,20.54
65096,63.16,41.28,22.02,55.99,37.48,20.51
65097,62.90,40.49,21.84,55.90,37.42,20.48
65098,63.32,39.76,21.68,55.82,37.37,20.45
65099,61.91,38.56,21.09,55.75,37.32,20.42
65100,61.73,38.39,21.87,55.68,37.27,20.40
65101,61.43,37.28,21.53,55.60,37.22,20.37
65102,60.93,37.11,21.83,55.55,37.19,20.35
65103,61.48,37.64,21.54,55.51,37.16,20.33
65104,62.61,38.09,22.00,55.46,37.13,20.32
65105,63.01,38.84,21.21,55.44,37.11,20.31
65106,62.82,39.43,21.83,55.42,37.10,20.30
65107,63.00,39.68,21.64,55.38,37.07,20.29
65108,62.21,39.52,22.72,55.36,37.06,20.28
65109,61.60,39.20,23.61,55.33,37.04,20.27
65110,61.84,37.81,24.78,55.31,37.02,20.26
65111,63.63,37.47,25.65,55.28,37.00,20.25
65112,64.72,36.71,25.95,55.25,36.99,20.24
65113,66.53,36.45,25.19,55.23,36.97,20.23
65114,67.58,36.33,24.40,55.20,36.95,20.22
65115,67.78,37.11,23.80,55.20,36.95,20.22
65116,65.38,37.18,22.77,55.21,36.96,20.22
65117,64.55,38.46,22.26,55.24,36.98,20.24
65118,62.31,38.62,22.39,55.27,37.00,20.25
65119,61.60,39.35,21.91,55.31,37.03,20.26
65120,60.21,39.39,21.50,55.35,37.05,20.28
65121,60.15,39.47,22.04,55.39,37.08,20.29
65122,58.73,39.04,22.73,55.41,37.09,20.30
65123,59.79,39.28,22.98,55.46,37.13,20.32
65124,59.68,38.30,23.19,55.49,37.15,20.33
65125,61.10,38.76,23.88,55.52,37.17,20.34
65126,61.79,38.32,23.47,55.56,37.19,20.35
65127,64.12,38.68,23.46,55.60,37.22,20.37
65128,63.56,37.85,23.82,55.61,37.23,20.37
65129,63.49,38.95,23.97,55.63,37.24,20.38
65130,63.06,38.10,24.09,55.64,37.25,20.38
65131,62.97,39.02,23.74,55.64,37.25,20.38
65132,62.27,38.94,23.41,55.64,37.25,20.38
65133,62.91,39.79,23.35,55.65,37.25,20.38
65134,63.31,39.83,23.21,55.65,37.26,20.39
65135,63.55,40.56,23.22,55.67,37.27,20.39
65136,63.25,40.18,22.75,55.68,37.27,20.40
65137,63.34,40.00,22.58,55.69,37.28,20.40
65138,62.85,39.72,21.91,55.71,37.30,20.41
65139,62.89,39.30,22.49,55.73,37.31,20.42
65140,62.07,39.15,21.74,55.75,37.32,20.42
65141,62.01,39.65,22.53,55.78,37.34,20.43
65142,60.83,39.21,22.31,55.82,37.37,20.45
65143,60.77,39.64,22.72,55.86,37.39,20.46
65144,59.19,39.19,21.67,55.90,37.42,20.48
65145,59.60,39.39,22.26,55.94,37.45,20.49
65146,58.67,38.26,21.76,55.97,37.47,20.50
65147,59.32,38.65,21.94,55.98,37.48,20.51
65148,58.89,38.37,21.04,55.97,37.47,20.50
65149,59.45,39.04,21.27,55.97,37.46,20.50
65150,58.64,38.35,20.14,55.95,37.46,20.50
65151,59.41,39.17,19.95,55.93,37.44,20.49
65152,58.85,38.49,19.38,55.90,37.42,20.48
65153,59.02,37.66,19.20,55.84,37.38,20.46
65154,59.10,36.87,18.89,55.74,37.31,20.42
65155,58.67,36.95,18.64,55.62,37.23,20.38
65156,58.56,35.75,19.00,55.48,37.14,20.32
65157,57.82,35.94,19.27,55.36,37.06,20.28
65158,57.78,36.70,20.39,55.26,36.99,20.24
65159,57.05,36.75,21.26,55.18,36.94,20.21
65160,58.15,37.21,22.74,55.11,36.89,20.19
65161,57.20,37.73,22.89,55.07,36.87,20.17
65162,58.40,38.03,23.54,55.05,36.85,20.17
65163,57.66,37.64,22.88,55.02,36.83,20.16
65164,58.42,38.09,22.45,54.98,36.80,20.14
65165,57.41,37.12,21.81,54.93,36.77,20.12
65166,58.22,37.65,21.69,54.85,36.71,20.09
65167,57.46,36.95,21.03,54.73,36.64,20.05
65168,58.99,38.15,21.20,54.60,36.55,20.00
65169,58.72,38.12,21.29,54.48,36.47,19.96
65170,59.80,38.63,21.89,54.35,36.39,19.91
65171,59.79,37.64,21.50,54.23,36.30,19.87
65172,59.95,38.21,21.42,54.11,36.22,19.82
65173,59.49,36.78,20.63,54.03,36.17,19.79
65174,60.17,37.26,20.66,53.96,36.12,19.77
65175,59.96,37.25,20.68,53.89,36.08,19.74
65176,61.49,38.45,21.06,53.84,36.04,19.72
65177,61.84,38.34,21.42,53.80,36.02,19.71
65178,62.97,39.14,22.03,53.75,35.98,19.69
65179,61.18,37.94,21.58,53.72,35.96,19.68
65180,61.16,38.30,21.38,53.70,35.95,19.67
65181,58.69,37.44,21.05,53.70,35.95,19.67
65182,58.66,37.82,21.31,53.74,35.98,19.69
65183,56.43,37.21,20.91,53.80,36.02,19.71
65184,57.88,37.83,21.50,53.86,36.06,19.73
